Education Qualification,Subject Expertise,Teaching Years,Student Performance,Attendance,Courses Previously Taught,Seminars Attended,Research Interests,Learning Style,Certifications,Teaching Methodology,Future Courses,Age,Gender,University Type,Publication Count,Student Feedback Score
Masters,Information Technology,14,3.84,76,"Cloud Computing, IoT, Database Systems, Web Development","Cloud Innovations in Information Technology, Data Science in Information Technology","IT Project Management, Database Systems","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Lecture-based,"IT Project Management, IoT",48,Non-Binary,State University,11,4.3
PhD,Computer Science,29,3.37,64,"Data Structures, Artificial Intelligence, Operating Systems, Machine Learning","Cybersecurity Trends in Computer Science, Data Science in Computer Science",Operating Systems,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Hands-on Projects,Cybersecurity,88,Non-Binary,Open University,15,3.2
Masters,Information Technology,12,3.88,79,"IT Project Management, Network Security","Cybersecurity Trends in Information Technology, Cloud Innovations in Information Technology",IoT,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Hands-on Projects,"Blockchain, Network Security",55,Female,State University,10,3.1
PhD,Information Technology,30,4.0,90,"Network Security, Cloud Computing, Web Development","Cybersecurity Trends in Information Technology, AI in Information Technology, Data Science in Information Technology","Blockchain, Network Security","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Flipped Classroom,"Big Data, IoT",87,Non-Binary,State University,13,3.0
Masters,Information Technology,17,3.42,76,"Web Development, Database Systems",Data Science in Information Technology,Cloud Computing,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Azure Certification,Flipped Classroom,Web Development,54,Female,Open University,10,3.8
Bachelors,Computer Science,9,3.66,89,"Data Science, Cybersecurity, Software Engineering, Artificial Intelligence","Data Science in Computer Science, Cybersecurity Trends in Computer Science","Machine Learning, Cybersecurity","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Lecture-based,"Algorithms, Data Science",39,Non-Binary,Community College,3,4.1
PhD,Information Technology,25,3.48,80,"IoT, Web Development, Network Security","Cloud Innovations in Information Technology, Data Science in Information Technology","IT Project Management, Cloud Computing","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Case Studies,"IoT, Blockchain",83,Male,Open University,6,4.2
PhD,Information Technology,27,3.42,91,"Cloud Computing, Big Data, Blockchain, Database Systems","AI in Information Technology, Data Science in Information Technology",IoT,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",None,Flipped Classroom,Blockchain,83,Male,State University,24,3.4
PhD,Computer Science,11,3.63,80,"Software Engineering, Data Structures, Data Science",Data Science in Computer Science,Operating Systems,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Cisco Network Cert,Case Studies,"Operating Systems, Data Structures",67,Female,Private University,9,3.4
PhD,Computer Science,24,3.83,69,"Data Structures, Machine Learning, Artificial Intelligence, Data Science","AI in Computer Science, Data Science in Computer Science, Cybersecurity Trends in Computer Science","Operating Systems, Cybersecurity","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,"Machine Learning, Data Structures",74,Non-Binary,Private University,9,4.2
Masters,Information Technology,20,3.62,60,"IoT, Blockchain",Data Science in Information Technology,Network Security,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AWS Cloud Cert,Case Studies,Database Systems,62,Male,State University,7,4.5
Masters,Information Technology,5,3.92,57,"IT Project Management, Blockchain, Web Development",AI in Information Technology,IoT,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,Network Security,33,Non-Binary,Open University,13,3.4
PhD,Information Technology,14,3.6799999999999997,88,"Database Systems, IoT, Blockchain","Cloud Innovations in Information Technology, AI in Information Technology, Data Science in Information Technology","Big Data, Database Systems","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Case Studies,Blockchain,50,Male,Private University,24,3.8
PhD,Information Technology,24,3.67,86,"Cloud Computing, IT Project Management, IoT, Web Development","AI in Information Technology, Cybersecurity Trends in Information Technology, Data Science in Information Technology","Cloud Computing, Blockchain","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",None,Case Studies,"Blockchain, Cloud Computing",74,Male,Community College,22,3.4
Bachelors,Information Technology,6,4.0,99,"Database Systems, Blockchain, IT Project Management, Network Security",Cybersecurity Trends in Information Technology,IoT,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Hands-on Projects,Big Data,37,Non-Binary,Open University,2,3.0
Masters,Information Technology,17,4.0,85,"IT Project Management, Big Data, Cloud Computing",AI in Information Technology,"Web Development, Database Systems","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Case Studies,Database Systems,56,Female,Community College,3,4.5
PhD,Computer Science,28,3.92,78,"Machine Learning, Artificial Intelligence, Algorithms","Cloud Innovations in Computer Science, AI in Computer Science, Cybersecurity Trends in Computer Science","Artificial Intelligence, Algorithms","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,Operating Systems,75,Non-Binary,Open University,20,4.2
Bachelors,Computer Science,8,3.7800000000000002,60,"Data Structures, Data Science, Machine Learning, Artificial Intelligence","Data Science in Computer Science, Cloud Innovations in Computer Science","Data Structures, Cybersecurity","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Cisco Network Cert,Case Studies,Machine Learning,34,Male,Private University,3,3.8
PhD,Computer Science,24,3.9,94,"Data Structures, Operating Systems","AI in Computer Science, Cloud Innovations in Computer Science","Artificial Intelligence, Cybersecurity","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,"Operating Systems, Algorithms",60,Non-Binary,Community College,13,3.4
PhD,Computer Science,30,4.0,86,"Data Structures, Operating Systems",Cybersecurity Trends in Computer Science,Machine Learning,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Case Studies,"Cybersecurity, Data Science",81,Non-Binary,State University,19,3.3
Masters,Computer Science,17,3.9699999999999998,99,"Algorithms, Data Structures, Software Engineering, Cybersecurity","Cybersecurity Trends in Computer Science, AI in Computer Science, Data Science in Computer Science",Data Science,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,Algorithms,61,Non-Binary,Private University,5,4.4
PhD,Computer Science,23,3.93,93,"Data Structures, Algorithms, Operating Systems, Data Science","Cybersecurity Trends in Computer Science, Data Science in Computer Science",Data Science,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Cisco Network Cert,Case Studies,Artificial Intelligence,71,Non-Binary,Community College,24,4.4
PhD,Computer Science,27,3.7800000000000002,89,"Cybersecurity, Software Engineering","AI in Computer Science, Data Science in Computer Science, Cybersecurity Trends in Computer Science",Operating Systems,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Azure Certification,Lecture-based,"Algorithms, Software Engineering",78,Non-Binary,Private University,17,3.4
Bachelors,Information Technology,9,3.71,76,"Web Development, Big Data, Blockchain, IT Project Management","Cybersecurity Trends in Information Technology, Cloud Innovations in Information Technology, AI in Information Technology",IoT,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Cisco Network Cert,Case Studies,Database Systems,37,Female,Community College,4,3.7
Bachelors,Information Technology,8,3.73,97,"IoT, Database Systems, Network Security, IT Project Management","Data Science in Information Technology, AI in Information Technology",IT Project Management,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",None,Case Studies,"Big Data, Cloud Computing",34,Non-Binary,Private University,2,3.8
PhD,Computer Science,13,3.63,86,"Data Science, Data Structures, Algorithms","Data Science in Computer Science, Cloud Innovations in Computer Science, AI in Computer Science","Cybersecurity, Machine Learning","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Cisco Network Cert,Case Studies,"Data Science, Artificial Intelligence",58,Female,Community College,16,4.6
PhD,Information Technology,19,4.0,94,"IT Project Management, IoT, Blockchain, Database Systems","AI in Information Technology, Data Science in Information Technology","Cloud Computing, IT Project Management","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",None,Case Studies,IT Project Management,61,Male,State University,24,4.2
PhD,Information Technology,23,3.17,52,"IT Project Management, Blockchain, Big Data",Cloud Innovations in Information Technology,Blockchain,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Azure Certification,Case Studies,"Blockchain, IT Project Management",58,Female,Open University,15,3.8
Bachelors,Information Technology,4,3.6,87,"Cloud Computing, IoT, IT Project Management, Big Data","Data Science in Information Technology, AI in Information Technology",Web Development,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,"Big Data, IoT",36,Female,Private University,2,3.5
Masters,Information Technology,8,3.6799999999999997,76,"Database Systems, IT Project Management, Web Development","AI in Information Technology, Data Science in Information Technology","Network Security, Web Development","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",None,Hands-on Projects,"Blockchain, Network Security",42,Female,State University,8,4.1
Bachelors,Information Technology,8,4.0,75,"Blockchain, Cloud Computing","AI in Information Technology, Cybersecurity Trends in Information Technology","IoT, IT Project Management","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Hands-on Projects,Network Security,40,Female,Open University,2,3.9
Bachelors,Computer Science,3,3.41,64,"Artificial Intelligence, Software Engineering, Machine Learning","Cybersecurity Trends in Computer Science, Cloud Innovations in Computer Science",Algorithms,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",None,Flipped Classroom,Data Structures,26,Non-Binary,State University,4,4.6
PhD,Computer Science,20,4.0,92,"Data Science, Cybersecurity, Algorithms, Artificial Intelligence","AI in Computer Science, Data Science in Computer Science",Cybersecurity,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AWS Cloud Cert,Case Studies,Machine Learning,55,Non-Binary,State University,24,3.4
Bachelors,Computer Science,1,3.9000000000000004,76,"Machine Learning, Operating Systems, Data Science, Cybersecurity",Data Science in Computer Science,"Operating Systems, Software Engineering","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Lecture-based,Cybersecurity,31,Non-Binary,State University,0,3.3
Bachelors,Computer Science,2,4.0,95,"Cybersecurity, Operating Systems","AI in Computer Science, Data Science in Computer Science",Operating Systems,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Flipped Classroom,"Artificial Intelligence, Cybersecurity",30,Female,Private University,4,3.4
Bachelors,Information Technology,5,3.8600000000000003,89,"Network Security, Web Development, Big Data, IT Project Management","AI in Information Technology, Data Science in Information Technology",Network Security,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Lecture-based,Database Systems,28,Non-Binary,State University,2,4.9
PhD,Computer Science,16,3.35,58,"Software Engineering, Algorithms, Operating Systems, Machine Learning","Data Science in Computer Science, Cybersecurity Trends in Computer Science",Algorithms,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Hands-on Projects,"Data Structures, Algorithms",59,Male,Community College,10,3.9
Masters,Computer Science,13,3.9899999999999998,53,"Artificial Intelligence, Data Science","AI in Computer Science, Data Science in Computer Science","Cybersecurity, Operating Systems","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Flipped Classroom,Software Engineering,38,Male,State University,14,3.6
PhD,Computer Science,21,4.0,84,"Artificial Intelligence, Machine Learning, Data Structures",Data Science in Computer Science,Data Structures,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,"Algorithms, Operating Systems",72,Male,Private University,11,4.2
Masters,Information Technology,15,3.98,51,"Web Development, Cloud Computing, Blockchain, Database Systems","Cloud Innovations in Information Technology, Data Science in Information Technology, Cybersecurity Trends in Information Technology",IT Project Management,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Case Studies,Network Security,56,Non-Binary,Community College,13,4.2
Bachelors,Computer Science,2,4.0,89,"Operating Systems, Data Structures","Cloud Innovations in Computer Science, Cybersecurity Trends in Computer Science",Data Structures,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Hands-on Projects,Artificial Intelligence,30,Female,Community College,3,3.4
Bachelors,Information Technology,4,4.0,64,"Blockchain, Cloud Computing, IT Project Management, Web Development",Data Science in Information Technology,"Big Data, IT Project Management","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Flipped Classroom,Blockchain,30,Male,Community College,4,3.6
Masters,Information Technology,20,3.3699999999999997,55,"IoT, Network Security, Database Systems, Blockchain","Data Science in Information Technology, AI in Information Technology, Cybersecurity Trends in Information Technology","Network Security, Database Systems","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,IoT,64,Male,Private University,6,4.0
Bachelors,Computer Science,8,3.9,92,"Artificial Intelligence, Machine Learning, Software Engineering, Algorithms","Cybersecurity Trends in Computer Science, Cloud Innovations in Computer Science, AI in Computer Science","Artificial Intelligence, Data Structures","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,Machine Learning,30,Male,Open University,1,4.5
Bachelors,Information Technology,1,4.0,78,"Big Data, Database Systems, IT Project Management, Cloud Computing","Cybersecurity Trends in Information Technology, AI in Information Technology","Cloud Computing, Big Data","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,Cloud Computing,34,Non-Binary,State University,3,3.8
Masters,Computer Science,14,3.75,98,"Data Structures, Artificial Intelligence","Cloud Innovations in Computer Science, Cybersecurity Trends in Computer Science, Data Science in Computer Science","Artificial Intelligence, Software Engineering","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Azure Certification,Hands-on Projects,Operating Systems,47,Non-Binary,Open University,2,4.1
PhD,Information Technology,13,3.46,80,"Database Systems, Cloud Computing, Blockchain","AI in Information Technology, Cybersecurity Trends in Information Technology, Data Science in Information Technology","Big Data, Database Systems","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Azure Certification,Case Studies,Database Systems,55,Male,Open University,27,5.0
Masters,Information Technology,9,4.0,83,"Network Security, Web Development, Cloud Computing, IoT","Data Science in Information Technology, Cybersecurity Trends in Information Technology","Cloud Computing, IT Project Management","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,"Big Data, Network Security",43,Non-Binary,State University,7,4.6
Masters,Computer Science,9,3.78,98,"Artificial Intelligence, Software Engineering, Data Structures, Operating Systems","Cloud Innovations in Computer Science, AI in Computer Science",Software Engineering,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,"Software Engineering, Data Science",34,Non-Binary,State University,13,3.2
PhD,Computer Science,19,3.8899999999999997,55,"Cybersecurity, Software Engineering, Artificial Intelligence, Machine Learning","Data Science in Computer Science, AI in Computer Science","Cybersecurity, Software Engineering","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Hands-on Projects,Cybersecurity,62,Non-Binary,Community College,15,4.9
PhD,Computer Science,26,3.35,81,"Cybersecurity, Algorithms, Artificial Intelligence, Data Science","Data Science in Computer Science, AI in Computer Science, Cybersecurity Trends in Computer Science","Data Science, Cybersecurity","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AWS Cloud Cert,Case Studies,"Data Science, Machine Learning",70,Non-Binary,Open University,30,3.4
Bachelors,Information Technology,7,3.82,52,"Network Security, Cloud Computing",AI in Information Technology,"Big Data, Network Security","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,"IoT, Network Security",41,Male,Community College,4,4.8
Masters,Information Technology,7,3.74,99,"Cloud Computing, Database Systems, IT Project Management, Blockchain",Cloud Innovations in Information Technology,"Web Development, Network Security","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Azure Certification,Lecture-based,"Cloud Computing, IT Project Management",35,Male,Private University,10,4.6
Masters,Information Technology,5,3.98,71,"IoT, Cloud Computing, Web Development","Cloud Innovations in Information Technology, Data Science in Information Technology, Cybersecurity Trends in Information Technology",Web Development,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Azure Certification,Flipped Classroom,"Cloud Computing, Blockchain",30,Non-Binary,State University,1,3.8
Bachelors,Computer Science,9,3.99,64,"Software Engineering, Artificial Intelligence, Cybersecurity","Cloud Innovations in Computer Science, Data Science in Computer Science","Data Structures, Artificial Intelligence","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,Software Engineering,34,Female,Private University,0,4.1
Bachelors,Computer Science,2,4.0,88,"Data Structures, Cybersecurity",AI in Computer Science,Artificial Intelligence,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Lecture-based,Operating Systems,29,Female,Private University,2,4.2
PhD,Information Technology,24,4.0,94,"IoT, Big Data, Database Systems, IT Project Management","Data Science in Information Technology, Cloud Innovations in Information Technology, Cybersecurity Trends in Information Technology",Network Security,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,IT Project Management,63,Male,Private University,11,4.6
Masters,Information Technology,7,4.0,81,"Network Security, Database Systems",Cloud Innovations in Information Technology,Web Development,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AWS Cloud Cert,Case Studies,Network Security,33,Non-Binary,Community College,10,4.1
Bachelors,Information Technology,8,3.4699999999999998,63,"Cloud Computing, Big Data, Network Security","Cloud Innovations in Information Technology, Data Science in Information Technology","Database Systems, IT Project Management","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Lecture-based,"Big Data, Database Systems",33,Female,Community College,2,4.0
Bachelors,Computer Science,4,3.69,55,"Software Engineering, Data Structures, Algorithms","Cybersecurity Trends in Computer Science, Cloud Innovations in Computer Science",Machine Learning,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AWS Cloud Cert,Case Studies,"Software Engineering, Cybersecurity",30,Non-Binary,Open University,2,3.9
Masters,Computer Science,11,4.0,82,"Operating Systems, Artificial Intelligence","Cloud Innovations in Computer Science, Data Science in Computer Science, Cybersecurity Trends in Computer Science","Artificial Intelligence, Cybersecurity","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Case Studies,Software Engineering,43,Female,Open University,8,3.9
Masters,Computer Science,10,3.29,75,"Operating Systems, Data Structures","AI in Computer Science, Data Science in Computer Science, Cloud Innovations in Computer Science",Machine Learning,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Cisco Network Cert,Case Studies,"Data Structures, Machine Learning",37,Male,State University,3,4.8
PhD,Information Technology,13,3.64,67,"IT Project Management, Network Security, Cloud Computing, Database Systems","Cloud Innovations in Information Technology, Data Science in Information Technology, AI in Information Technology",IoT,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Azure Certification,Hands-on Projects,Cloud Computing,56,Female,Private University,21,3.2
Bachelors,Information Technology,8,4.0,99,"IT Project Management, Blockchain","AI in Information Technology, Cybersecurity Trends in Information Technology, Cloud Innovations in Information Technology",IoT,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Cisco Network Cert,Case Studies,"IoT, IT Project Management",30,Non-Binary,Community College,1,4.8
Bachelors,Information Technology,5,4.0,93,"Network Security, Blockchain, IT Project Management, Web Development",Cloud Innovations in Information Technology,"Blockchain, Big Data","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Azure Certification,Flipped Classroom,Database Systems,28,Non-Binary,State University,5,3.8
Masters,Computer Science,6,4.0,84,"Artificial Intelligence, Data Science, Software Engineering","Data Science in Computer Science, Cybersecurity Trends in Computer Science, Cloud Innovations in Computer Science","Artificial Intelligence, Cybersecurity","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,"Machine Learning, Operating Systems",40,Male,Community College,4,4.9
Bachelors,Computer Science,7,4.0,84,"Software Engineering, Data Science",Data Science in Computer Science,Algorithms,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,"Machine Learning, Cybersecurity",34,Male,Open University,4,4.4
PhD,Computer Science,14,3.75,99,"Cybersecurity, Data Science, Data Structures, Artificial Intelligence","AI in Computer Science, Cloud Innovations in Computer Science","Operating Systems, Machine Learning","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Cisco Network Cert,Case Studies,Artificial Intelligence,53,Female,Community College,18,3.5
PhD,Computer Science,19,4.0,75,"Operating Systems, Cybersecurity, Artificial Intelligence, Algorithms","Cybersecurity Trends in Computer Science, Cloud Innovations in Computer Science, AI in Computer Science","Cybersecurity, Algorithms","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,Machine Learning,77,Male,State University,9,3.4
Bachelors,Information Technology,5,3.59,71,"Big Data, Cloud Computing, Network Security, Web Development",Cloud Innovations in Information Technology,"Network Security, IoT","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",None,Lecture-based,"Web Development, Database Systems",28,Female,State University,4,3.4
Bachelors,Information Technology,3,3.17,61,"Cloud Computing, Big Data, Blockchain","Cloud Innovations in Information Technology, Cybersecurity Trends in Information Technology","Blockchain, Web Development","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Lecture-based,"Web Development, Database Systems",34,Non-Binary,Private University,1,4.9
Bachelors,Information Technology,6,3.98,62,"Blockchain, Cloud Computing","Data Science in Information Technology, Cloud Innovations in Information Technology","Network Security, Web Development","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Azure Certification,Lecture-based,"Network Security, IoT",30,Non-Binary,Private University,0,3.5
Bachelors,Computer Science,4,3.31,79,"Machine Learning, Artificial Intelligence",AI in Computer Science,"Algorithms, Cybersecurity","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,Cybersecurity,35,Non-Binary,Community College,3,4.2
Bachelors,Computer Science,7,3.5999999999999996,78,"Data Science, Artificial Intelligence, Operating Systems",AI in Computer Science,"Data Science, Machine Learning","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,Data Science,30,Male,Community College,5,3.6
Bachelors,Computer Science,8,4.0,89,"Algorithms, Machine Learning","Cloud Innovations in Computer Science, AI in Computer Science, Cybersecurity Trends in Computer Science","Data Structures, Data Science","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Cisco Network Cert,Case Studies,Data Science,30,Non-Binary,State University,5,4.8
Bachelors,Computer Science,9,3.73,68,"Operating Systems, Artificial Intelligence, Data Science, Machine Learning","Cloud Innovations in Computer Science, Data Science in Computer Science","Machine Learning, Software Engineering","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,Data Structures,35,Female,State University,3,4.2
PhD,Computer Science,19,3.5700000000000003,95,"Data Science, Operating Systems",AI in Computer Science,"Data Science, Algorithms","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Cisco Network Cert,Case Studies,"Artificial Intelligence, Data Science",62,Female,Community College,22,3.1
Masters,Information Technology,11,3.39,67,"Cloud Computing, IoT, Blockchain, Database Systems","AI in Information Technology, Cloud Innovations in Information Technology, Data Science in Information Technology",Big Data,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,"Database Systems, Network Security",48,Non-Binary,Community College,10,4.0
Bachelors,Information Technology,4,3.81,64,"Database Systems, IoT, IT Project Management, Blockchain","Cybersecurity Trends in Information Technology, Cloud Innovations in Information Technology",Database Systems,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,"Web Development, Database Systems",26,Female,Open University,2,4.8
Bachelors,Computer Science,9,3.3,77,"Data Structures, Machine Learning","Cybersecurity Trends in Computer Science, Data Science in Computer Science, Cloud Innovations in Computer Science","Operating Systems, Cybersecurity","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Lecture-based,Algorithms,32,Male,Open University,5,3.6
PhD,Information Technology,25,4.0,88,"Network Security, IT Project Management, Cloud Computing, Big Data","Data Science in Information Technology, Cybersecurity Trends in Information Technology, AI in Information Technology",Database Systems,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Flipped Classroom,Database Systems,72,Male,Private University,5,3.3
PhD,Information Technology,17,3.87,50,"IoT, Cloud Computing, Blockchain","AI in Information Technology, Data Science in Information Technology, Cloud Innovations in Information Technology","Big Data, Web Development","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,"Big Data, Blockchain",56,Non-Binary,Open University,8,4.0
PhD,Computer Science,28,4.0,97,"Data Science, Algorithms, Machine Learning, Cybersecurity","Data Science in Computer Science, AI in Computer Science","Software Engineering, Artificial Intelligence","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,"Machine Learning, Data Structures",67,Male,State University,30,4.9
